#1.0.0,,,,,,,,,,,,
keyword,foma3x,foma2x,foma1x,pdc2,pdc1,win,cdma,sb3g,will,em,iphone,pc
&#xe63e;,;,;,;,ר,ר,"<img localsrc=""44"" />","<img localsrc=""44"" />",&#xe04a;,ר,;,"<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" />"
&#xE63E;,;,;,;,ר,ר,"<img localsrc=""44"" />","<img localsrc=""44"" />",&#xe04a;,ר,;,"<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" />"
&#63647;,&#xe63e;,&#xe63e;,&#xe63e;,ר,ר,"<img localsrc=""44"" />","<img localsrc=""44"" />",&#xe04a;,ר,&#xe63e;,"<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" />"
ר,;,;,;,;,;,"<img localsrc=""44"" />","<img localsrc=""44"" />",&#xe04a;,;,&#xe63e;,"<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63E.gif"" width=""16"" height=""16"" />"
&#xe63f;,;,;,;,ר ,ר ,"<img localsrc=""107"" />","<img localsrc=""107"" />",&#xe049;,ר ,;,"<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" />"
&#xE63F;,;,;,;,ר ,ר ,"<img localsrc=""107"" />","<img localsrc=""107"" />",&#xe049;,ר ,;,"<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" />"
&#63648;,&#xe63f;,&#xe63f;,&#xe63f;,ר ,ר ,"<img localsrc=""107"" />","<img localsrc=""107"" />",&#xe049;,ר ,&#xe63f;,"<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" />"
ר ,;,;,;,;,;,"<img localsrc=""107"" />","<img localsrc=""107"" />",&#xe049;,;,&#xe63f;,"<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE63F.gif"" width=""16"" height=""16"" />"
&#xe640;,;,;,;,ר¡,ר¡,"<img localsrc=""95"" />","<img localsrc=""95"" />",&#xe04b;,ר¡,;,"<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" />"
&#xE640;,;,;,;,ר¡,ר¡,"<img localsrc=""95"" />","<img localsrc=""95"" />",&#xe04b;,ר¡,;,"<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" />"
&#63649;,&#xe640;,&#xe640;,&#xe640;,ר¡,ר¡,"<img localsrc=""95"" />","<img localsrc=""95"" />",&#xe04b;,ר¡,&#xe640;,"<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" />"
ר¡,;,;,;,;,;,"<img localsrc=""95"" />","<img localsrc=""95"" />",&#xe04b;,;,&#xe640;,"<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE640.gif"" width=""16"" height=""16"" />"
&#xe641;,;,;,;,ר¢,ר¢,"<img localsrc=""191"" />","<img localsrc=""191"" />",&#xe048;,ר¢,;,"<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" />"
&#xE641;,;,;,;,ר¢,ר¢,"<img localsrc=""191"" />","<img localsrc=""191"" />",&#xe048;,ר¢,;,"<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" />"
&#63650;,&#xe641;,&#xe641;,&#xe641;,ר¢,ר¢,"<img localsrc=""191"" />","<img localsrc=""191"" />",&#xe048;,ר¢,&#xe641;,"<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" />"
ר¢,;,;,;,;,;,"<img localsrc=""191"" />","<img localsrc=""191"" />",&#xe048;,;,&#xe641;,"<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE641.gif"" width=""16"" height=""16"" />"
&#xe642;,;,;,;,ר£,ר£,"<img localsrc=""16"" />","<img localsrc=""16"" />",&#xe13d;,ר£,;,"<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" />"
&#xE642;,;,;,;,ר£,ר£,"<img localsrc=""16"" />","<img localsrc=""16"" />",&#xe13d;,ר£,;,"<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" />"
&#63651;,&#xe642;,&#xe642;,&#xe642;,ר£,ר£,"<img localsrc=""16"" />","<img localsrc=""16"" />",&#xe13d;,ר£,&#xe642;,"<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" />"
ר£,;,;,;,;,;,"<img localsrc=""16"" />","<img localsrc=""16"" />",&#xe13d;,;,&#xe642;,"<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE642.gif"" width=""16"" height=""16"" />"
&#xe643;,;,;,;,ר₪,ר₪,"<img localsrc=""190"" />","<img localsrc=""190"" />",&#xe443;,ר₪,;,"<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" />"
&#xE643;,;,;,;,ר₪,ר₪,"<img localsrc=""190"" />","<img localsrc=""190"" />",&#xe443;,ר₪,;,"<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" />"
&#63652;,&#xe643;,&#xe643;,&#xe643;,ר₪,ר₪,"<img localsrc=""190"" />","<img localsrc=""190"" />",&#xe443;,ר₪,&#xe643;,"<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" />"
ר₪,;,;,;,;,;,"<img localsrc=""190"" />","<img localsrc=""190"" />",&#xe443;,;,&#xe643;,"<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE643.gif"" width=""16"" height=""16"" />"
&#xe644;,;,;,;,ר¥,ר¥,"<img localsrc=""305"" />","<img localsrc=""305"" />",&#xe331;,ר¥,;,"<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" />"
&#xE644;,;,;,;,ר¥,ר¥,"<img localsrc=""305"" />","<img localsrc=""305"" />",&#xe331;,ר¥,;,"<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" />"
&#63653;,&#xe644;,&#xe644;,&#xe644;,ר¥,ר¥,"<img localsrc=""305"" />","<img localsrc=""305"" />",&#xe331;,ר¥,&#xe644;,"<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" ra:convert=""no"" />","<img src=""/glyph/docomo/UE644.gif"" width=""16"" height=""16"" />"
